@lat	@lon	name
41.1273458	-100.7634429	Fire Station #1
42.0334564	-97.4172687	Norfolk Fire Division
42.5969469	-98.0336814	Verdigre Fire Department
41.5529113	-100.9577131	Tryon Fire Department
41.9783532	-100.5762665	Thedford City Fire Department
41.5527633	-100.9577557	McPherson County Fire Hall
41.0942703	-101.8878056	Brule Volunteer Fire Hall
41.1244058	-101.3571095	Paxton Fire Department
41.3314527	-102.1440283	Lewellen Fire Department
41.1264153	-101.7153771	Ogallala Fire Department
41.4035820	-102.3454291	Garden County Fire Department
41.4035200	-102.3454825	Oshkosh Fire Department
42.9195304	-101.7009492	Merriman Fire Department
42.7178299	-102.4654415	Rushville Fire Department
42.8755611	-100.5510624	Valentine Fire Department
42.6388121	-100.2387725	Wood Lake Fire Department
41.2322031	-103.8918913	Bushnell Fire Hall
41.5567515	-103.7433222	Banner County Fire Department
41.2352583	-103.4863254	Dix Fire Hall
41.2368763	-103.6647203	Kimball Fire Department
41.1421163	-102.9797874	Sidney Fire Department
41.3222034	-102.9707586	Gurley Fire Department
41.2174813	-103.3157655	Potter Fire Hall
42.8298964	-103.0037716	Chadron City Volunteer Fire Department
41.8212226	-103.6612863	Gering Fire Hall
41.8649576	-103.6651324	Scottsbluff Fire Department
41.9647463	-103.9265779	Morrill Fire Department
42.3213510	-103.0757536	Hemingford Fire Department
42.0979158	-102.8731120	Alliance Area Fire/Emergency Center
42.9636101	-99.0967626	Naper Fire Department
42.0644940	-100.2587315	Purdum Rural Fire Department
42.4549010	-98.6474518	O'Neill Fire Station
42.5313912	-98.9781525	Atkinson Fire Department
42.5858087	-99.5381319	Bassett Fire Department
42.8736082	-98.7016236	Spencer Fire Department
42.8302762	-98.4661932	Lynch City Fire Department
40.3491624	-101.1075526	Palisade Fire Department
42.5483558	-99.8617032	Ainsworth Fire Station
42.6014723	-99.3276151	Newport Fire Department
40.1983366	-100.6323744	McCook Fire Station
40.0505135	-100.2762925	Lebanon Fire Department
40.2505617	-100.3087540	Bartley Fire Department
40.6625261	-100.0295256	Eustis Fire Hall
40.4183299	-101.3712753	Wauneta Fire Department
40.7522303	-100.7298694	Maywood-Wellfleet Rural Fire Hall
41.1422203	-100.7618122	North Platte Fire Department
41.0793450	-100.5250612	
41.0218140	-100.3654108	Brady Fire Department
40.8261177	-100.9929277	Dickens Fire Department
42.0408308	-101.0468262	Mullen Fire Department
41.9034461	-100.2693785	Halsey Fire Department
42.0219276	-101.9276811	Ashby Firehouse
42.0006777	-101.7607045	Hyannis Fire Department
42.5066113	-97.2018915	Coleridge Fire Hall
42.3500044	-97.7897867	Plainview Fire Hall
42.4544372	-97.4699259	Magnet Fire Hall
42.6996147	-97.3624795	Fordyce Fire Hall
42.3774481	-97.3571569	Randolph Fire Hall
42.7399981	-97.1711615	Wynot Fire Hall
42.1700877	-98.1882859	Clearwater Fire House
42.3377827	-97.9706228	Brunswick Rural Fire Protection
40.7783328	-98.7342471	Shelton Fire Hall
41.0119524	-99.6239977	Eddyville Fire Department
40.6979372	-99.0799401	Kearney Fire Department
41.0819567	-98.3553421	Saint Libory Fire Department
40.7800065	-99.7370599	Lexington Fire Station
42.3599957	-97.5966417	Osmond Fire Department
42.0290116	-97.7363043	Meadow Grove Fire Station
41.8283401	-97.4567148	Madison Fire Department
41.9496073	-97.2246761	Stanton Fire Department
40.3036180	-99.8965129	Arapahoe Fire Department
40.1302843	-99.9698492	Hendley Fire and Rescue
40.2838954	-100.1665256	Cambridge Fire Department
40.0961242	-98.9525807	Franklin Fire Department
40.0889030	-98.7586841	Riverton Fire Department
41.8538983	-98.0778425	Petersburg Fire Hall
41.5691930	-97.8519991	Saint Edward Fire Department
41.6915202	-98.0027855	Albion Fire Station
42.2756957	-97.1889377	Carroll Fire Hall
42.1122261	-97.3061614	Hoskins Fire Department
42.1764652	-97.1751230	Winside Fire Hall
42.2315782	-97.0190845	Wayne Fire Department
41.9996862	-97.5966717	Battle Creek Fire Department
42.3818485	-98.5279547	Inman City Fire Department
41.4049881	-99.6426970	Broken Bow Fire Department
41.6416731	-99.3695495	Sargent Volunteer Fire Department
41.1416475	-99.7638180	Oconto Fire Hall
42.2578090	-98.3465279	Ewing Village Fire Department
42.4755589	-98.8062032	Emmet Fire Hall
42.4014925	-98.4170769	Page Fire Department
41.6024054	-98.9302104	Ord Fire Department
41.4952891	-98.7731370	North Loup Fire Department
41.1182649	-98.8315212	Rockville City Fire Department
41.3972355	-98.3959023	Wolbach Fire Hall
41.4814758	-99.7637719	Merna Fire Department
41.2908393	-99.9245658	Callaway Fire Department
41.2877859	-99.3817682	Ansley Fire Department
40.5267303	-99.6337882	Bertrand Village Fire Hall
40.4392798	-99.3689735	Holdrege Fire Department
40.8992265	-98.3790069	Grand Island Fire Station Three
40.8875124	-98.3686741	Hall County Rural Fire Station
41.5478819	-98.5320359	Greeley Fire Hall
41.4663926	-98.7031701	Scotia City Fire Department
40.4819001	-99.1225286	Axtell Fire Department
40.3641789	-99.1698131	Wilcox Fire Hall
41.9830635	-98.0836773	Elgin Fire Hall
42.0691736	-97.9689534	Oakdale Fire Department
40.9209614	-98.3584343	Grand Island Fire Station One
40.6794570	-98.2733907	Trumbull Fire Department
40.5041799	-98.2531079	Glenvil Fire Department
40.4314004	-98.1058806	Fairfield Fire Department
40.3986192	-97.8358772	Ong Fire Department
40.6458388	-97.1130925	Dorchester Fire Department
40.3944469	-96.9189170	DeWitt Fire Department
40.6530617	-97.2853238	Friend Fire Department
40.4802402	-96.9607713	Wilber Fire Station
40.0208350	-98.0697566	Superior Fire Department
40.3788917	-97.0786446	Swanton Fire Department
40.3938916	-97.1980952	Western Fire Department
40.2919567	-98.2600483	Lawrence Volunteer Fire Department
40.0089329	-97.9268747	Hardy Fire Department
40.1652067	-97.5891888	Hebron Fire Department
40.2370092	-97.9034063	Oak Volunteer Fire Department
40.4652804	-96.8497484	Clatonia Fire Department
40.1206257	-96.6610978	Wymore Fire Department
40.2452794	-97.3892076	Alexandria Fire Department
40.0633351	-95.6058184	Falls City Fire Department
40.4580552	-96.3766803	Sterling Fire Department
40.0483352	-96.5769654	Barneston Fire Station
40.1394296	-96.6592116	Blue Springs Fire Hall
40.1102779	-96.1538955	Pawnee City Fire Hall
40.2066655	-96.2354126	Steinauer Fire Department
40.1638893	-95.9449985	Humboldt Fire Department
41.4311230	-97.3594862	Columbus Fire Department
41.5375111	-97.4883783	Platte Center Fire Department
41.6998419	-97.6941039	Lindsay Fire Department
41.4487447	-97.7303806	Genoa Fire Department
41.4530200	-97.0566310	Schuyler Fire Department
41.7052868	-97.2380953	Leigh Fire Department
41.2203738	-98.2573507	Palmer Fire & Rescue
41.0241795	-98.1592257	Chapman Fire Hall
41.1930303	-97.2968274	Rising City Fire Department
41.4122295	-96.9314206	Linwood Fire Department
41.0836209	-97.0200294	Dwight Fire Hall
41.2838017	-96.9587605	Bruno Fire Department
41.3427903	-97.2383727	Bellwood Fire Hall
41.3341756	-96.9489211	Abie Fire Department
40.8972344	-98.2147807	Phillips Fire Department
40.7733098	-98.1538157	Giltner Fire Hall
40.8788549	-97.8858346	Hampton Fire Department
40.7744081	-97.0505263	Milford Fire Department
40.8657386	-98.0007466	Aurora Fire Department
40.8938995	-97.3450466	Utica Fire Department
40.9090835	-97.0951782	Seward Fire Department
40.7916719	-96.9336377	Pleasant Dale Fire Department
40.9750104	-97.1725378	Staplehurst Fire Department
41.0062441	-97.0572586	Bee Fire Department
40.7172296	-97.3531033	Cordova Fire Department
40.7791778	-97.8128278	Henderson Fire Barn
41.0058474	-97.6064412	Benedict Fire Department
41.0283465	-97.4022694	Gresham Fire Department
40.6177895	-98.0983848	Harvard Fire Department
40.5269357	-97.5959010	Geneva Fire Department
41.5426649	-96.1355538	Blair Fire Department
41.2270168	-96.4868642	Mead Fire Department
41.1614709	-96.5401838	Ithaca Fire Department
41.4319484	-96.7664179	Morse Bluff Fire Hall
42.0124950	-96.5730879	Bancroft Fire Department
41.9303851	-96.8121109	Beemer Fire Station
41.9865400	-96.9163206	Wisner Fire Department
41.7855487	-96.3639592	Craig Fire Hall
42.0041495	-96.2494384	Decatur Fire & Rescue
41.8380884	-96.4670011	Oakland Fire Hall
41.7216702	-96.8833234	Dodge Fire Department
41.5351593	-96.4703559	Nickerson Fire Station
41.4630597	-96.7808627	North Bend Fire Station
41.6103647	-96.5447671	Hooper Fire Station
40.5377803	-96.7872462	Hallam Fire Hall
41.1571221	-96.0445350	Papillion Fire Department Station 3
41.1874989	-96.0389051	La Vista Fire Department
40.7961130	-96.1175089	Avoca Fire Department
40.9621333	-96.4405177	Greenwood Fire Department
40.8164113	-96.4307775	Eagle Fire Station
40.9196542	-96.1659349	Manley Fire Hall
41.0015542	-96.1616930	Louisville Fire Department
40.8697327	-96.1432256	Weeping Water Fire Department
40.8290771	-95.9854691	Nehawka Rural Fire District
41.4611059	-96.0266801	Fort Calhoun Fire Hall
41.0119436	-95.8847313	Plattsmouth Fire Department
41.4730512	-96.2033513	Kennard Fire Hall
41.6738795	-96.2150170	Herman Fire Hall
42.6509081	-96.8751055	Newcastle Fire Department
42.4158322	-96.8442071	Allen Fire Station
40.6577792	-96.1872309	Syracuse Fire Department
42.5625326	-96.7075471	Ponca Fire Department
42.4751450	-96.4142867	South Sioux City Fire Department
42.5081706	-96.8308011	Martinsburg Fire Hall
42.2342183	-96.4728226	WVFD
42.1486568	-96.4867249	Walthill Fire Hall
42.4162372	-96.4183383	Dakota City Fire Department
40.0347221	-96.0483352	Du Bois Fire Department
40.4810303	-95.9596753	Brock Fire Department
40.4827908	-95.7308988	Peru Fire Hall
41.6091469	-96.5055061	Winslow Fire Department
41.7355504	-96.5053038	Uehling Fire Department
41.7052798	-96.7891983	Snyder Fire Hall
41.6668582	-96.6665454	Scribner Fire Department
42.7305819	-97.4965993	Crofton Fire Station
42.4683372	-97.9059006	Creighton Fire Department
41.4170513	-96.5006402	Fremont Rural Fire Station
41.4437358	-96.4922628	Fremont Fire Department
40.0902914	-98.5183937	Red Cloud Fire Hall
42.4994468	-97.5397847	Wausa Fire Station
42.7497002	-98.0304794	Niobrara Fire Station
40.5305564	-96.0216723	Talmage Fire Department
40.7236135	-96.1169524	Otoe Fire Department
40.5991767	-98.3901272	Hastings Fire Department
40.6209512	-98.6573370	Kenesaw Fire Department
41.2880182	-96.2870334	Waterloo Fire Station
41.3755519	-95.9769581	Ponca Hills Fire Station
40.7628624	-96.6542022	Fire Station 6
40.8494099	-96.6396151	Fire Station Number Five
41.8362531	-96.7119876	West Point Firemans Hall
41.1149204	-97.5967047	Stromsburg Fire and Rescue
41.3967645	-96.6102006	Cedar Bluffs Fire & Rescue
41.1915683	-96.7436231	Weston Volunteer Fire & Rescue Department
40.7134374	-99.1227936	Kearney Fire Department Station #2
40.9078648	-96.8662852	Malcolm Voulnteer Fire & Rescue
41.2599528	-96.1377082	Boys Town Fire and Rescue
40.6801325	-96.5054587	Bennet Rural Fire Protection
41.0585063	-96.6447126	Ceresco Fire Department
40.2672879	-96.7502221	
41.1672730	-95.9676614	Bellevue Fire Station (District 3)
40.9281663	-100.1596027	Gothenburg Fire Department
41.1095297	-95.9466207	Bellevue Fire Station (District 4)
40.9602732	-96.7786258	Raymond Voulnteer Fire Dept
41.6672886	-103.0990411	
40.8475467	-96.2928606	Elmwood Fire & Rescue
40.5958186	-98.5061092	Juniata Fire Station
41.0776200	-100.5261906	Maxwells Volunteer Fire Department
41.1802590	-97.5504553	Osceola Fire and Rescue
41.2005327	-96.0311616	Ralston Fire Department
41.1661821	-95.9233152	Bellevue Fire Station (District 2)
40.3482623	-101.1074130	Palisade Fire & Rescue
41.1372391	-95.8959515	Bellevue Fire Station (District 1)
42.3211849	-96.4905990	Homer Fire Department
41.1573163	-96.1760832	Gretna Fire & Rescue District 2
40.7402033	-96.6295541	Fire Station 15
40.8592825	-99.9834680	Cozad Fire Station
40.1345027	-99.8274496	Beaver City Volunteer Fire Department
40.7487803	-98.8435524	Gibbon Fire Department
41.9167731	-104.0386542	
41.4080418	-102.9745692	
40.1998774	-98.0677038	Nelson Fire Department
40.6246789	-96.6383271	Hickman Fire Department
40.8928539	-96.6737902	Raymond Volunteer Fire and Rescue Arbor Station
40.1788495	-96.0964456	Table Rock Fire Department
40.8328560	-97.2211429	Goehner Volunteer Fire Department
40.2002302	-100.6324599	
42.4152336	-96.9973060	Dixon Fire and Rescue
40.8433730	-96.7556354	
42.2343118	-97.0054389	
40.8468079	-101.3883672	Elsie Rural Fire Department
41.2869899	-96.0725823	Omaha Fire Department - Station 42
41.3089918	-96.0747033	Omaha Fire Department - Station 43
41.1341019	-96.0807847	Papillion Fire Department 2
41.2481727	-96.0810958	Omaha Fire Department - Station 52
41.2205196	-96.2304788	OFD Station 77
41.2951806	-96.2357437	
41.2853214	-96.1379710	Omaha Fire Department - Station 55
41.2320155	-96.1144775	Omaha Fire Department - Station 60
41.1825259	-96.0795792	
41.2592688	-96.0379626	Omaha Fire Dept Station 53
41.2998429	-95.9651164	Omaha Fire Department - Station 21
41.2790991	-95.9405634	Omaha Fire Department - Station 5
41.1174969	-95.9170795	Base Fire Station
40.9154064	-96.5291495	Waverly Fire & Rescue
40.7992485	-96.6506583	Fire Station 7
40.8219313	-96.6339603	Fire Station 9
40.8649960	-96.7222656	Fire Station 14
40.8154789	-96.6948867	Fire Station 1
40.7371604	-96.8445811	
40.6764739	-95.8631462	NCFD
41.7257833	-97.1178679	Clarkson Fire Department
40.9365875	-98.3592752	Grand Island Fire Station Two
41.2489688	-96.1696702	Omaha Fire Department - Station 56
40.7958557	-96.7489405	Fire Station 13
40.6264254	-96.9599831	Crete Fire Department
40.1374906	-97.1817094	Fairbury Fire Department
40.9621273	-96.4403506	Greenwood Fire Department
41.2885771	-96.2916497	Waterloo Fire & Rescue
41.2040104	-96.1766850	Omaha Fire Department - Station 63
40.2344626	-100.4176396	
40.9449429	-96.9859721	
42.1361369	-98.0361852	
41.1578761	-101.1252512	Sutherland Fire Department
40.4186376	-97.3358341	Tobias Fire & Rescue
41.1326744	-100.6991356	
41.2880131	-96.2870423	
41.9389173	-103.8082809	Mitchell Fire Department
41.5718783	-101.6918213	Arthur Fire Department
40.7839105	-99.1626712	
40.7840666	-99.1620805	
40.7283349	-99.0119278	Kearney Volunteer Fire Department
40.5177203	-101.6435474	
41.9998128	-97.5966504	
40.8281203	-98.6066747	Wood River Fire Department
40.7488085	-98.8435417	Gibbon Fire Hall
41.1902739	-96.1363535	Omaha Fire Department - Station 65
42.2799986	-96.7262253	Emerson Fire & Rescue
41.3141339	-96.3471533	Valley Fire and Rescue Department
41.9372875	-96.4742989	Lyons Volunteer Fire & Rescue
41.1477279	-96.2333632	Gretna Volunteer Fire & Rescue Department
40.7566319	-96.6820153	Fire Station 4
41.3051017	-95.9046534	Eppley Airfield Fire Rescue Station
41.2113123	-96.6207830	Wahoo Fire Department
41.2295939	-95.9377341	Omaha Fire Department - Station 3
40.5387594	-96.6000903	Firth/Panama Volunteer Fire Department
41.2547695	-95.9365825	Omaha Fire Department - Station 1 & Fire Division Headquarters
41.8617098	-103.6403236	Scottsbluff Rural Fire Station
41.0394205	-96.3810038	Ashland Fire Department
40.3768157	-96.1832544	Johnson County Rural Fire Department
42.1112907	-96.7066325	Pender Fire Hall
41.2158481	-96.0870833	Omaha Fire Department - Station 61
40.5116997	-101.0201747	Hayes Center Fire Department
40.8433443	-96.7842777	Fire Station 11
40.8151338	-96.5881803	Fire Station 16
40.7683628	-96.6068028	Fire Station 12
40.7411980	-96.6143349	Southeast Rural Fire and Rescue – Pine Lake Station
41.2200505	-96.0209535	Omaha Fire Department - Station 30
41.3154770	-95.9149637	Omaha Fire Department Station 22
40.9679979	-98.3180195	
41.4213242	-100.1963060	
40.8288494	-96.6732087	Fire Station Number Two
40.8554676	-96.6862665	Fire Station Number Ten
40.8127888	-96.7191626	Fire Station 3
40.1116769	-100.1074990	Wilsonville-Hendley RFD Station #8
40.8275683	-96.6041450	Southeast Rural Fire Department North Station
41.8083687	-103.5037076	
40.6297423	-100.5123661	Curtis Fire Department
41.7556447	-103.3238335	Bayard Fire Department
41.6738833	-96.2150769	
42.9134426	-98.8479920	Butte Fire Department
40.6679289	-96.0291566	
40.8692276	-97.5921631	York Fire Department
41.0067602	-98.0109729	
41.2142252	-98.4563558	Saint Paul Fire House
40.9602989	-96.7786502	Raymond Volunteer Fire and Rescue Station
42.5366780	-99.7004682	Long Pine Fire Department
41.2803289	-95.9809941	Omaha Fire Department - Station 24
42.4261763	-97.0970147	Laurel Fire and Resque
41.3427497	-95.9626402	Omaha Fire Department - Station 23
41.2059713	-95.9646695	Omaha Fire Department - Station 31
41.2285182	-95.9762619	Omaha Fire Department - Station 33
41.2503758	-95.9858642	Omaha Fire Department - Station 34
41.3004647	-96.0066787	Omaha Fire Department - Station 41
40.1422483	-97.7225785	Deshler Volunteer Fire Department
41.4436853	-96.4920473	Fremont Fire Department
42.0130168	-96.5738602	Bancroft Fire Departent
42.7178325	-102.4654376	
40.7781820	-97.2811708	Beaver Crossing Volunteer Fire Department
41.0802381	-96.8324074	Valparaiso Fire Department
42.5997712	-99.1450159	Stuart Fire Station
42.3774798	-97.3573685	
42.2756828	-97.1889666	
42.5065921	-97.2018868	
42.4261186	-97.0968028	
42.3830540	-96.9879452	
40.5388135	-96.6000651	
